Date.Time,Sensor,Sapflow,Tree,Loc,Sapflow.st
2022-03-25T08:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T08:09:27Z,SAP.FLOW.TOTAL.1,0.027,2384,RT,0.005342303126236644
2022-03-25T08:09:27Z,SAP.FLOW.TOTAL.2,0.602,2382,RT,0.09318885448916409
2022-03-25T08:09:27Z,SAP.FLOW.TOTAL.3,0.285,2010,RT,0.017135642135642132
2022-03-25T08:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T08:24:27Z,SAP.FLOW.TOTAL.1,0.001,2384,RT,1.9786307874950534e-4
2022-03-25T08:24:27Z,SAP.FLOW.TOTAL.2,1.359,2382,RT,0.21037151702786377
2022-03-25T08:24:27Z,SAP.FLOW.TOTAL.3,0.288,2010,RT,0.017316017316017313
2022-03-25T08:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T08:39:27Z,SAP.FLOW.TOTAL.1,0.17,2384,RT,0.03363672338741591
2022-03-25T08:39:27Z,SAP.FLOW.TOTAL.2,2.396,2382,RT,0.37089783281733746
2022-03-25T08:39:27Z,SAP.FLOW.TOTAL.3,0.506,2010,RT,0.03042328042328042
2022-03-25T08:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T08:54:27Z,SAP.FLOW.TOTAL.1,0.599,2384,RT,0.11851998417095369
2022-03-25T08:54:27Z,SAP.FLOW.TOTAL.2,3.34,2382,RT,0.5170278637770898
2022-03-25T08:54:27Z,SAP.FLOW.TOTAL.3,1.233,2010,RT,0.07413419913419914
2022-03-25T09:09:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T09:09:28Z,SAP.FLOW.TOTAL.1,1.1,2384,RT,0.21764938662445588
2022-03-25T09:09:28Z,SAP.FLOW.TOTAL.2,3.851,2382,RT,0.5961300309597524
2022-03-25T09:09:28Z,SAP.FLOW.TOTAL.3,2.284,2010,RT,0.1373256373256373
2022-03-25T09:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
