"","tree","week_cwc_link","cwc","date_shift","site","week_shift","water_potential","species","time","date_wp","week","time_season"
"200",2013,17,NA,NA,NA,NA,1.198,"blue oak","pd",2022-04-25,17,"after leafout"
"201",2013,19,NA,NA,NA,NA,2.11233333333333,"blue oak","md",2022-05-09,19,"after leafout"
"202",2013,21,NA,NA,NA,NA,2.104,"blue oak","pd",2022-05-23,21,"after leafout"
"203",2013,29,NA,NA,NA,NA,3.96666666666667,"blue oak","md",2022-07-19,29,"after leafout"
"204",2013,37,NA,NA,NA,NA,3.63933333333333,"blue oak","md",2022-09-15,37,"after leafout"
"205",2013,37,NA,NA,NA,NA,2.0305,"blue oak","pd",2022-09-15,37,"after leafout"
"206",2014,8,0,2022-02-24,"Cucu Mesa",8,NA,NA,NA,NA,8,"before leafout"
"207",2014,9,3e-07,2022-02-28,"Cucu Mesa",9,NA,NA,NA,NA,9,"before leafout"
"208",2014,10,0.0149648,2022-03-08,"Cucu Mesa",10,NA,NA,NA,NA,10,"before leafout"
"209",2014,11,0.0137505,2022-03-16,"Cucu Mesa",11,NA,NA,NA,NA,11,"before leafout"
"210",2014,12,0.0430796,2022-03-22,"Cucu Mesa",12,NA,NA,NA,NA,12,"before leafout"
"211",2014,14,0.0657307,2022-04-05,"Cucu Mesa",14,2.46666666666667,"blue oak","md",2022-04-04,14,"before leafout"
"212",2014,14,0.0657307,2022-04-05,"Cucu Mesa",14,0.787,"blue oak","pd",2022-04-04,14,"before leafout"
"213",2014,15,0.0501073,2022-04-12,"Cucu Mesa",15,NA,NA,NA,NA,15,"before leafout"
"214",2014,16,0.047813,2022-04-20,"Cucu Mesa",16,NA,NA,NA,NA,16,"before leafout"
"215",2014,17,0.055638,2022-04-29,"Cucu Mesa",17,NA,NA,NA,NA,17,"after leafout"
"216",2014,18,0.0385147,2022-05-03,"Cucu Mesa",18,NA,NA,NA,NA,18,"after leafout"
"217",2014,19,0.0262076,2022-05-11,"Cucu Mesa",19,NA,NA,NA,NA,19,"after leafout"
"218",2014,21,0.0249814,2022-05-17,"Cucu Mesa",20,NA,NA,NA,NA,21,"after leafout"
"219",2014,37,0.0154713,2022-09-14,"Cucu Mesa",37,NA,NA,NA,NA,37,"after leafout"
"220",2015,8,0.0021996,2022-02-24,"Cucu Mesa",8,NA,NA,NA,NA,8,"before leafout"
"221",2015,9,0.0053503,2022-02-28,"Cucu Mesa",9,NA,NA,NA,NA,9,"before leafout"
"222",2015,10,0,2022-03-08,"Cucu Mesa",10,NA,NA,NA,NA,10,"before leafout"
"223",2015,11,0.0178674,2022-03-16,"Cucu Mesa",11,NA,NA,NA,NA,11,"before leafout"
"224",2015,12,0.0022656,2022-03-22,"Cucu Mesa",12,NA,NA,NA,NA,12,"before leafout"
"225",2015,14,0.0587953,2022-04-05,"Cucu Mesa",14,0.617666666666667,"blue oak","pd",2022-04-04,14,"before leafout"
"226",2015,15,1e-07,2022-04-12,"Cucu Mesa",15,1.795,"blue oak","md",2022-04-13,15,"before leafout"
"227",2015,16,0.0326836,2022-04-20,"Cucu Mesa",16,NA,NA,NA,NA,16,"before leafout"
"228",2015,17,0,2022-04-29,"Cucu Mesa",17,2.731,"blue oak","md",2022-04-25,17,"after leafout"
"229",2015,17,0,2022-04-29,"Cucu Mesa",17,1.326,"blue oak","pd",2022-04-25,17,"after leafout"
