"","tree","plot","site","species","week","time","mpa","date_wp","rep","lwc_bulk","lwc_leaf","date_wc","lwc_mean","timing","mean_swc_per_dry_g","mean_swc_g","date_rwc","date_lfm","type","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent"
"61",1478,"Low","Cucu Mesa","blue oak",21,"md",4.5,2022-05-25,1,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"62",1478,"Low","Cucu Mesa","blue oak",21,"md",3.85,2022-05-25,4,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"63",1478,"Low","Cucu Mesa","blue oak",21,"md",4.5,2022-05-25,4,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"64",1478,"Low","Cucu Mesa","blue oak",21,"md",3.85,2022-05-25,1,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"65",1478,"Low","Cucu Mesa","blue oak",21,"md",3.6,2022-05-25,3,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"66",1478,"Low","Cucu Mesa","blue oak",21,"md",3.85,2022-05-25,3,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"67",1478,"Low","Cucu Mesa","blue oak",21,"md",4.5,2022-05-25,2,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"68",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.43,2022-05-25,2,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"69",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.62,2022-05-25,1,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"70",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.43,2022-05-25,3,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"71",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.43,2022-05-25,1,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"72",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.62,2022-05-25,3,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"73",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.608,2022-05-25,1,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
"74",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.62,2022-05-25,2,0.846251790545917,NA,2022-05-23,0.846251790545917,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5231224476697
