"","X","date","tree","swc_g","swc_per_dry_g","swc_percent","year","week","swc_ww_g","swc_dw_g","type","rep","timing"
"218",218,"2022-04-11",2090,0.1641,1.14755244755245,114.755244755245,1,15,0.3071,0.143,"stem",1,"late"
"219",219,"2022-04-11",2090,0.9438,1.16835850458034,116.835850458034,0,15,1.7516,0.8078,"leaf",1,"late"
"220",220,"2022-04-11",2086,0.0632,1.17037037037037,117.037037037037,1,15,0.1172,0.054,"stem",1,"late"
"221",221,"2022-04-11",2088,0.4463,1.17139107611549,117.139107611549,0,15,0.8273,0.381,"leaf",1,"late"
"222",222,"2022-04-11",2085,0.1598,1.19431988041854,119.431988041854,1,15,0.2936,0.1338,"stem",2,"late"
"223",223,"2022-04-11",2085,0.7083,1.22755632582322,122.755632582322,0,15,1.2853,0.577,"leaf",1,"late"
"224",224,"2022-04-11",2086,0.3894,1.25249276294628,125.249276294629,0,15,0.7003,0.3109,"leaf",2,"late"
"225",225,"2022-04-11",2087,0.5881,1.27019438444924,127.019438444924,0,15,1.0511,0.463,"leaf",1,"late"
"226",226,"2022-04-11",2087,0.0836,1.33974358974359,133.974358974359,1,15,0.146,0.0624,"stem",1,"late"
"227",227,"2022-04-11",2085,0.1683,1.36829268292683,136.829268292683,0,15,0.2913,0.123,"stem",1,"late"
"228",228,"2022-04-11",2090,0.1076,1.37948717948718,137.948717948718,0,15,0.1856,0.078,"stem",1,"late"
"229",229,"2022-04-11",2085,0.6702,1.39916492693111,139.916492693111,0,15,1.1492,0.479,"leaf",2,"late"
"230",230,"2022-04-11",2086,0.0791,1.4,140,0,15,0.1356,0.0565,"stem",1,"late"
"231",231,"2022-04-11",2089,0.7386,1.42312138728324,142.312138728324,0,15,1.2576,0.519,"leaf",1,"late"
"232",232,"2022-04-11",2085,0.1931,1.45406626506024,145.406626506024,0,15,0.3259,0.1328,"stem",2,"late"
