tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
2345,LL,Hobbiton,live oak,17,2.211,0.703242712086472,0.7015,0.655629139072848,-120.046605582862,34.6916462021151,L2345,NA,L,1.5094999999999998,-369419.0908392761,-4267.9197421940235,NA
2345,LL,Hobbiton,live oak,29,3.45,0.494289897510981,1.11666666666667,0.566042154566745,-120.046605582862,34.6916462021151,L2345,NA,L,2.3333333333333304,-369419.0908392761,-4267.9197421940235,late
2346,LL,Hobbiton,blue oak,10,2.5019583333333353,0.799590920751336,1.478875,0.82094179672984,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,1.0230833333333353,-369414.0673703784,-4287.481391252891,early
2346,LL,Hobbiton,blue oak,12,2.68333333333333,NA,1.78333333333333,NA,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,0.8999999999999999,-369414.0673703784,-4287.481391252891,early
2346,LL,Hobbiton,blue oak,14,2.85833333333333,1.08104136583933,1.425,1.71511627906977,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,1.4333333333333298,-369414.0673703784,-4287.481391252891,early
2346,LL,Hobbiton,blue oak,15,1.98133333333333,0.889205850151968,1.77575,1.11004184100418,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,0.20558333333333012,-369414.0673703784,-4287.481391252891,early
2346,LL,Hobbiton,blue oak,17,2.211,0.838321942022154,2.00033333333333,0.844660194174757,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,0.21066666666666967,-369414.0673703784,-4287.481391252891,NA
2346,LL,Hobbiton,blue oak,19,2.48133333333333,0.815619662174986,1.90625,0.931771475544595,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,0.5750833333333301,-369414.0673703784,-4287.481391252891,late
2346,LL,Hobbiton,blue oak,21,3.3165,0.674863387978142,2.0605,0.819505094614265,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,1.2559999999999998,-369414.0673703784,-4287.481391252891,late
2346,LL,Hobbiton,blue oak,29,4.7,0.515032679738562,3.8,0.585975609756098,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,0.9000000000000004,-369414.0673703784,-4287.481391252891,late
2346,LL,Hobbiton,blue oak,33,5.112,0.552876712328767,NA,NA,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,NA,-369414.0673703784,-4287.481391252891,late
2346,LL,Hobbiton,blue oak,37,NA,0.535292574127526,3.06666666666667,0.929184023523646,-120.046819222663,34.6916913716066,B2346,sapflow probe 2,B,NA,-369414.0673703784,-4287.481391252891,late
2347,LL,Hobbiton,blue oak,10,2.1146249999999998,1.30243337789661,NA,NA,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,NA,-369409.9920447273,-4281.8404103694575,early
2347,LL,Hobbiton,blue oak,12,2.3125,NA,1.2,NA,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,1.1125,-369409.9920447273,-4281.8404103694575,early
2347,LL,Hobbiton,blue oak,14,2.339583333333335,1.13278098865471,1.2161666666666648,NA,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,1.12341666666667,-369409.9920447273,-4281.8404103694575,early
2347,LL,Hobbiton,blue oak,15,1.559,0.918294850018623,1.6,0.990005053972307,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,-0.04100000000000015,-369409.9920447273,-4281.8404103694575,early
2347,LL,Hobbiton,blue oak,17,2.364375,0.952044266830618,1.36066666666667,0.992244952533761,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,1.0037083333333299,-369409.9920447273,-4281.8404103694575,NA
